HUMAN|HGNC=10741|UniProtKB=O75326	15	74416639	74433660	-1
HUMAN|HGNC=3301|UniProtKB=Q9GZV4	3	170894292	170908644	-1
HUMAN|HGNC=30323|UniProtKB=Q8TDB6	3	122564427	122575203	1
HUMAN|HGNC=4440|UniProtKB=P13224	22	19722945	19724771	1
HUMAN|HGNC=13446|UniProtKB=Q9NRM0	4	9826226	10054936	-1
HUMAN|HGNC=18816|UniProtKB=Q6UWL6	19	35856587	35866589	1
HUMAN|HGNC=1720|UniProtKB=Q13042	13	114234979	114272723	1
HUMAN|HGNC=23381|UniProtKB=Q9NPH6	9	133205318	133209250	-1
HUMAN|HGNC=25346|UniProtKB=Q5RHP9	1	74612784	74634855	-1
HUMAN|HGNC=10691|UniProtKB=P20132	12	113397255	113403888	-1
HUMAN|HGNC=32550|UniProtKB=B2RXF5	14	104800596	104804712	1
HUMAN|HGNC=8054|UniProtKB=P0C024	16	77722514	77741969	1
HUMAN|HGNC=9609|UniProtKB=P49190	2	208489086	208494506	1
HUMAN|HGNC=24369|UniProtKB=Q9Y536	1	120889746	120890405	1
HUMAN|HGNC=4867|UniProtKB=Q15751	15	63674741	63633876	-1
HUMAN|HGNC=12873|UniProtKB=O95409	13	99982065	99986773	1
HUMAN|HGNC=11909|UniProtKB=O00300	8	118923557	118951883	-1
HUMAN|HGNC=37180|UniProtKB=P0C7H9	8	12132417	12134444	-1
HUMAN|HGNC=7648|UniProtKB=Q8NFP9	13	35593006	35672736	1
HUMAN|HGNC=28174|UniProtKB=Q8NBV4	9	131289812	131309262	1
HUMAN|HGNC=7887|UniProtKB=Q9UNW9	19	45940894	45973546	-1
HUMAN|HGNC=2903|UniProtKB=P78352	17	7203221	7217188	-1
HUMAN|HGNC=26715|UniProtKB=Q3B8N5	14	74853033	74863834	-1
HUMAN|HGNC=8995|UniProtKB=O14986	9	68742255	68876787	1
HUMAN|HGNC=17447|UniProtKB=O94985	1	9729026	9823984	-1
HUMAN|HGNC=15505|UniProtKB=Q96N66	19	54181116	54189295	-1
HUMAN|HGNC=6924|UniProtKB=Q15012	2	20032650	20052028	-1
HUMAN|HGNC=20134|UniProtKB=Q86SX6	14	95535274	95544718	1
HUMAN|HGNC=35454|UniProtKB=Q19T08	5	139448556	139462743	-1
HUMAN|HGNC=29094|UniProtKB=O75153	17	2689389	2712020	-1
HUMAN|HGNC=8980|UniProtKB=O00459	19	18155880	18169231	1
HUMAN|HGNC=2900|UniProtKB=Q12959	3	197044260	197298115	-1
HUMAN|HGNC=1499|UniProtKB=P29466	11	105025443	105035113	-1
HUMAN|HGNC=25071|UniProtKB=Q6IBW4	22	50508244	50518058	1
HUMAN|HGNC=3538|UniProtKB=P55085	5	76818933	76835315	1
HUMAN|HGNC=10734|UniProtKB=O95754	2	74654293	74680441	1
HUMAN|HGNC=26363|UniProtKB=Q86YJ7	17	29593468	29613174	1
HUMAN|HGNC=23468|UniProtKB=Q96IM9	10	80356802	80368073	1
HUMAN|HGNC=33703|UniProtKB=A0PJX0	2	26581202	26641368	-1
HUMAN|HGNC=19172|UniProtKB=Q8IZ96	16	66566447	66579135	1
HUMAN|HGNC=9858|UniProtKB=P47736	1	21617932	21651836	-1
HUMAN|HGNC=24323|UniProtKB=Q16568	5	71719163	71721048	1
HUMAN|HGNC=130|UniProtKB=P62736	10	88941785	88952773	-1
HUMAN|HGNC=26862|UniProtKB=Q4G112	17	58420775	58488384	-1
HUMAN|HGNC=26274|UniProtKB=Q96I59	11	78436223	78574864	-1
HUMAN|HGNC=17567|UniProtKB=Q6UYE1	13	50711901	50843696	-1
HUMAN|HGNC=3097|UniProtKB=O75923	2	71453722	71686648	1
HUMAN|HGNC=29828|UniProtKB=Q6TFL3	9	15553086	15660146	1
HUMAN|HGNC=4194|UniProtKB=P30047	15	40764127	40767710	1
HUMAN|HGNC=23505|UniProtKB=Q14692	10	42782801	42834937	1
HUMAN|HGNC=6819|UniProtKB=Q9UDY8	18	58671386	58700586	1
HUMAN|HGNC=16472|UniProtKB=Q9UMX9	5	33951405	33984730	-1
HUMAN|HGNC=7172|UniProtKB=Q9Y5R2	20	35226654	35277000	1
HUMAN|HGNC=27106|UniProtKB=Q6P988	17	81955515	81961840	-1
HUMAN|HGNC=12299|UniProtKB=P34981	8	109087424	109119567	1
HUMAN|HGNC=6731|UniProtKB=O76036	19	54906156	54912973	1
